Year,Type,Subtype,Name,Country,Location
1969,Drought,Drought,,Afghanistan,Paktia province
1971,Drought,Drought,,Afghanistan,"Central, North-West, North-East, West regions"
2000,Drought,Drought,,Afghanistan,"Kandahar, Hilmand, Nimroz, Zabul, Uruzgan provinces (south-west), Hirat, Farah, Badghis provinces (west), Paktika, Khost, Ghazni provinces (south), Baghlan, Kunduz, Takhar, Badakhshan provinces (north-east)"
2006,Drought,Drought,,Afghanistan,"Badakhshan, Badghis, Baghlan, Balkh, Bamyan, Daykundi, Faryab, Ghor, Jawzjan, Kunduz, Samangan, Sar-e-Pul, Takhar, Uruzgan provinces"
2008,Drought,Drought,,Afghanistan,"Kunduz, Balkh, Faryab, Badghis provinces"
2011,Drought,Drought,,Afghanistan,"Balkh, Samangan, Takhar, Sar-e-Pul, Hirat, Badghis, Faryab, Jawzjan, Baghlan, Kunduz, Badakshan, Bamyan, Daykundi, Ghor provinces"
2018,Drought,Drought,,Afghanistan,"Badghis, Daykundi, Hirat, Ghor, Daykundi, Badakhshan, Farah, Helmand, Kandahar, Zabul, Nangarhar "
2021,Drought,Drought,,Afghanistan,"Badghis, Badakhshan, Baghlan, Balkh, Takhar, Jawzjan, Sar-i-Pul, Samangan, Faryab, Kunduz, Herat "
1989,Drought,Drought,,Albania,
1981,Drought,Drought,,Algeria,
1981,Drought,Drought,,Angola,"Benguela, Mocamedes, Huila, Cunene, Kuando-Kobango, Bie"
1985,Drought,Drought,,Angola,
1989,Drought,Drought,,Angola,"Huila, Namibe, Kwanza Sul, Benguela"
1997,Drought,Drought,,Angola,
2001,Drought,Drought,,Angola,Cuanza Sul province
2004,Drought,Drought,,Angola,"Cunene, Cuanza-Sul provinces"
2012,Drought,Drought,,Angola,"Bengo, Cuanza Sul, Benguela, Huila, Namibe, Cunene, Moxico, Bie, Huambo, Zaire, Kuando Kubango provinces"
2017,Drought,Drought,,Angola,"Seven provinces in the South (Cunene, Huila, Namibe, Benguela, Cuando Cubango, Cuanza Sul and Huambo)"
1919,Drought,Drought,,Anguilla,
1983,Drought,Drought,,Antigua and Barbuda,
2003,Drought,Drought,,Argentina,"Buenos Aires, Buenos Aires D.f., Entre Rios, Santa Fe provinces"
2009,Drought,Drought,,Argentina,"Río Negro, La Pampa, Córdoba, Buenos Aires, Entre Ríos, Santa Fe, Corrientes, Chaco, Formosa, Santiago del Estero provinces"
2018,Drought,Drought,,Argentina,"Buenos Aires, Cordoba, Santa Fe, Pampa, Santiago del Estero provinces"
2019,Drought,Drought,,Argentina,"San Martín, Rivadavia, Oran departments (Salta province)"
2000,Drought,Drought,,Armenia,"Ararat, Armavir, Gergharkunik, Aragatsotn, Shirak, Kotayk, Tavush, Lori provinces"
1967,Drought,Drought,,Australia,South-East
1974,Drought,Drought,,Australia,Central New South Wales
1976,Drought,Drought,,Australia,"Victoria, South Australia, Southern Inland New South Wales"
1976,Drought,Drought,,Australia,Southwest of Western Australia
1978,Drought,Drought,,Australia,"Southern Queensland, New South Wales, Victoria, Northeast Tasmania"
1981,Drought,Drought,,Australia,"Queensland, New South Wales, Victoria States"
1991,Drought,Drought,,Australia,"Western, South"
1992,Drought,Drought,,Australia,Queensland
2002,Drought,Drought,,Australia,"Queensland, New South Wales provinces"
2006,Drought,Drought,,Australia,NO DATA: all country has been selected
2018,Drought,Drought,,Australia,"New South Wales, Victoria , Queensland"
2000,Drought,Drought,,Azerbaijan,"Absheron, Aran, Daghlig Shirvan, Ganja-Gazakh, Guba-Khachmaz, Kalbajar-Lachin, Lankaran, Nakhchivan, Shaki-Zaqatala, Yukhari Garabakh provinces"
1943,Drought,Drought,,Bangladesh,
1947,Drought,Drought,,Bangladesh,
1974,Drought,Drought,,Bangladesh,Northwest
1979,Drought,Drought,,Bangladesh,"Chittagong, Rangpur Mymenshingh region"
1982,Drought,Drought,,Bangladesh,
1989,Drought,Drought,,Bangladesh,Northwest
2009,Drought,Drought,,Bangladesh,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces"
2010,Drought,Drought,,Barbados,"Christ Church, St. Andrew, St. George, St. James, St. John, St. Joseph, St. Lucy, St. Michael, St. Peter, St. Phillip, St. Tomas provinces"
1976,Drought,Drought,,Belgium,
1969,Drought,Drought,,Benin,Entire country
1980,Drought,Drought,,Benin,"Oueme, Zou, Borgou, Atacora provinces"
1977,Drought,Drought,,Bolivia (Plurinational State of),Potosi department
1983,Drought,Drought,,Bolivia (Plurinational State of),Altiplano (High Plateaux)
1983,Drought,Drought,,Bolivia (Plurinational State of),
1988,Drought,Drought,,Bolivia (Plurinational State of),"Santa Cruz, La Paz, Chaco area"
1990,Drought,Drought,,Bolivia (Plurinational State of),"La paz, Oruro, Potosi, Cochabamba, Tarija departments"
1994,Drought,Drought,,Bolivia (Plurinational State of),Potosi
2000,Drought,Drought,,Bolivia (Plurinational State of),Gran Chaco district (Tarija province)
2004,Drought,Drought,,Bolivia (Plurinational State of),"Beni, Chuquisaca, Cochabamba, Santa Cruz, Tarija provinces"
2008,Drought,Drought,,Bolivia (Plurinational State of),"La Paz, Oruro, Tarija, Chuquisaca, Santa Cruz provinces"
2010,Drought,Drought,,Bolivia (Plurinational State of),"Santa Cruz, Tarija, Chuquisaca provinces"
2013,Drought,Drought,,Bolivia (Plurinational State of),"Tarija, Santa Cruz, Chuquisaca, Cochabamba, Beni, La Paz provinces"
2014,Drought,Drought,,Bolivia (Plurinational State of),Santa Cruz province
2016,Drought,Drought,,Bolivia (Plurinational State of),"Oruro, Cochabamba, Beni provinces"
2000,Drought,Drought,,Bosnia and Herzegovina,"Federacija Bosne I Hercegovine, Republika Srpska provinces"
2003,Drought,Drought,,Bosnia and Herzegovina,"Republika Srpska province, Posavski district (Federacija Bosne I Hercegovine province), Neretvljanski district (Federacija Bosne I Hercegovine province)"
1965,Drought,Drought,,Botswana,Nationwide
1968,Drought,Drought,,Botswana,Countrywide
1970,Drought,Drought,,Botswana,Countrywide
1981,Drought,Drought,,Botswana,Nationwide
1990,Drought,Drought,,Botswana,
2015,Drought,Drought,,Botswana,All country
2019,Drought,Drought,,Botswana,Botswana’s Okavango Delta
1970,Drought,Drought,,Brazil,Northeast
1977,Drought,Drought,,Brazil,North East
1978,Drought,Drought,,Brazil,Central and Southern
1979,Drought,Drought,,Brazil,Northeastern
1983,Drought,Drought,,Brazil,"Northeast, Sertao"
1985,Drought,Drought,,Brazil,Rio Grande Do Sul
1987,Drought,Drought,,Brazil,"Alagoas, Minas, Bahia, Maranhao, Piaui, Ceara, Rio Grande Do Norte, Paraiba, Pernambuco, Sergipe, Mina Gerais states"
1988,Drought,Drought,,Brazil,"Rio Grande Do Sul, Santa Catarina"
1994,Drought,Drought,,Brazil,
1998,Drought,Drought,,Brazil,"Nord East, Piaui State"
2001,Drought,Drought,,Brazil,Pernambuco province
2002,Drought,Drought,,Brazil,"Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces"
2004,Drought,Drought,,Brazil,"Rio Grande Do Sul, Paraiba, Ceara, Piaui, Sergipe, Alagoas, Bahia, Rio Grande do Norte, Pernambuco provinces"
2005,Drought,Drought,,Brazil,"Manaquiri, Atalaia Do Norte, Anori, Caapiranga districts (Amazonas province)"
2007,Drought,Drought,,Brazil,"Ceara, Piaui, Maranhao, Tocantins, Minas Gerais provinces"
2010,Drought,Drought,,Brazil,Amazonas province
2012,Drought,Drought,,Brazil,"Minas Gerias, Pernambuco, Bahia provinces"
2014,Drought,Drought,,Brazil,"Alagoas, Bahia, Ceara, Maranhao, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte, Sergipe provinces"
2020,Drought,Drought,,Brazil,"Rio Grande Do Sul, Santa Catarina"
1983,Drought,Drought,,Bulgaria,
