Year,Type,Subtype,Name,Country,Location
1954,Earthquake,Ground movement,,Afghanistan,North Region
1956,Earthquake,Ground movement,,Afghanistan,Kabul
1972,Earthquake,Ground movement,,Afghanistan,"Sarsangi, Narin counties (Hindu Kush region)"
1976,Earthquake,Ground movement,,Afghanistan,Shamagan province (Hindu Kush)
1982,Earthquake,Ground movement,,Afghanistan,Baghlan province (Hindu Kush region)
1983,Earthquake,Ground movement,,Afghanistan,"Hindu Kush region, North-East provinces"
1984,Earthquake,Ground movement,,Afghanistan,Jalalabad Area
1991,Earthquake,Ground movement,,Afghanistan,Keshim (Badakhshan province)
1991,Earthquake,Ground movement,,Afghanistan,"Konar, Nangarhar, Badakhstan provinces"
1992,Earthquake,Ground movement,,Afghanistan,
1994,Earthquake,Ground movement,,Afghanistan,"Termez, Depth Shallow, Balkh and Jowzan Provinces, Mazar-I-Sharif District"
1996,Earthquake,Ground movement,,Afghanistan,"Pakhalsoz, Dar-E-Zand, Qala-E-Khwaja (Maimana, Faryab Province)"
1997,Earthquake,Ground movement,,Afghanistan,Herat area
1998,Earthquake,Ground movement,,Afghanistan,Shari-I-Buzurg (Faizabad )
1998,Earthquake,Ground movement,,Afghanistan,Rustaq (Takhar province)
1998,Earthquake,Ground movement,,Afghanistan,Rostaq area
1999,Earthquake,Ground movement,,Afghanistan,"Maidam Shar, Nirkh, Sayedabad, Baraki Barak, Pul-e-Alam, Mohammad Agha - Lowgar "
2001,Earthquake,Ground movement,,Afghanistan,Fayzabad district (Badakhshan province)
2001,Earthquake,Ground movement,,Afghanistan,"Panjsher, Parwan, Kapisa provinces"
2002,Earthquake,Ground movement,,Afghanistan,"Hindu Kush montain (Wakhan district, Badakhshan province), Souchi Bala Payan, Yawan villages (Yawan district, Badakhshan province), Souch village (Jorm district, Badakhshan province), Jurm, Malang Ab villages (Baharak district, Badakhshan province), Rostaq district (Takhar province), Kabul district (Kabul province), Khuram Wa Sarbagh, Aybak districts (Samagan province)"
2002,Earthquake,Ground movement,,Afghanistan,Nahrin district (Baghlan province)
2002,Earthquake,Ground movement,,Afghanistan,"Dawabi, Khojakeder villages (Nahrin district, Baghlan province)"
2003,Earthquake,Ground movement,,Afghanistan,"Yaka Bagh area (Namakab district, Takhar province)"
2004,Earthquake,Ground movement,,Afghanistan,Paktya province
2005,Earthquake,Ground movement,,Afghanistan,Jalalabad district (Nangarhar province)
2005,Earthquake,Ground movement,,Afghanistan,"Alishang district (Laghman province), Jalalabad district (Nangarhar province), Badakhsan province"
2006,Earthquake,Ground movement,,Afghanistan,Emamsaheb district (Kunduz province)
2009,Earthquake,Ground movement,,Afghanistan,"Sherzad, Hesarak, Khogyani districts (Nangarhar province)"
2010,Earthquake,Ground movement,,Afghanistan,Samangan province
2012,Earthquake,Ground movement,,Afghanistan,"Burka, Mullah Jan villages (Burka district, Baghlan province) Nahrin, Guzargah-e-Nur, Khost Wa Fereng, Khwajahejran districts (Baghlan province)"
2013,Earthquake,Ground movement,,Afghanistan,"Kama, Dehbala, Lalpur, Surkhrod, Kuzkunar, Sherzad, Khogyani, Chaparhar, Dara-e-Nur, Goshta, Durbaba, Muhmand Dara, Behsud, Jalalabad, Batikot, Hesarak, Shinwar, Achin districts (Nangarhar province), Nurgal, Khaskunar, Sarkani, Chawkay (Kunar province)"
2015,Earthquake,Ground movement,,Afghanistan,"Badakhshan, Baghlan, Ghazni, Kapisa, Khost, Kunar, Nangarhar, Paktya, Panjsher, Parwan, Takhar, Kunduz, Nuristan, Laghman, Kabul provinces"
2015,Earthquake,Ground movement,,Afghanistan,"Ashkasham town (Eshkmesh district, Badakhshan province)"
1905,Earthquake,Ground movement,,Albania,Shkoder
1920,Earthquake,Ground movement,,Albania,"Tepelen, Dragoti, Peshtani, Maricaj"
1930,Earthquake,Ground movement,,Albania,"Vlore, Himare, Kuc"
1930,Earthquake,Ground movement,,Albania,"Vlore, Tepelene"
1931,Earthquake,Ground movement,,Albania,Korce
1942,Earthquake,Ground movement,,Albania,"Peshkopia, Magellare"
1962,Earthquake,Ground movement,,Albania,"Fier, Volre"
1967,Earthquake,Ground movement,,Albania,Shupenze (Albania-Yugo Border)
1979,Earthquake,Ground movement,,Albania,Northern
1982,Earthquake,Ground movement,,Albania," Lushnje, Bier, Berat"
1988,Earthquake,Ground movement,,Albania,"Tirana, Ulcinj-Bar"
1998,Earthquake,Ground movement,,Albania,"Kukes, Peshkopi"
2009,Earthquake,Ground movement,,Albania,Peshkopi district
2019,Earthquake,Ground movement,,Albania,Korçë county
2019,Earthquake,Ground movement,,Albania,"Durres, Tirana Counties"
2019,Earthquake,Ground movement,,Albania,"Durrës, Kruje, Tiranë, Lezhë"
1910,Earthquake,Ground movement,,Algeria,"Kabylie, Masqueray"
1946,Earthquake,Ground movement,,Algeria,"Hodna Mountains, Constantine"
1954,Earthquake,Ground movement,,Algeria,Orleansville
1960,Earthquake,Ground movement,,Algeria,"Melouza, Beni Illmane"
1965,Earthquake,Ground movement,,Algeria,M'sila & Environs
1967,Earthquake,Ground movement,,Algeria,Near Sig
1980,Earthquake,Ground movement,,Algeria,El Asnam
1985,Earthquake,Ground movement,,Algeria,Constantine-Skikda area
1987,Earthquake,Ground movement,,Algeria,"Wilaya de Chle, Wilaya de Tissemsilt, Daira de Bordj Bou Naama, Larbaa"
1988,Earthquake,Ground movement,,Algeria,"Blida, Mede-Algiers areas"
1989,Earthquake,Ground movement,,Algeria,"Chenoua, Blida, Tipasa, Boumerdes, Wilaya, El-Nador"
1992,Earthquake,Ground movement,,Algeria,Ain-Defla
