Year,Type,Subtype,Name,Country,Location
1990,Extreme temperature ,Cold wave,,Afghanistan,
1991,Extreme temperature ,Cold wave,,Afghanistan,East and South Afghan Provinces
2001,Extreme temperature ,Cold wave,,Afghanistan,"Hirat, Faryab, Jawzjan, Balkh, Samangan, Sar-e-Pul, Kunduz, Baghlan provinces"
2001,Extreme temperature ,Cold wave,,Afghanistan,Kunduz province
2005,Extreme temperature ,Cold wave,,Afghanistan,Badakhshan province
2008,Extreme temperature ,Severe winter conditions,,Afghanistan,"Nangarhar, Laghman (Eastern), Paktika, Paktya (Central), Ghor, Badghis, Hirat (Western), Sar-e-Pul, Kunduz, Balkh, Jawzjan, Takhar (Northern), Hilmand (SouthWest), Farah provinces"
2012,Extreme temperature ,Severe winter conditions,,Afghanistan,"Badakhshan, Daykundi provinces"
2004,Extreme temperature ,Heat wave,,Albania,"Durres city (Durres district, Durres province)"
2007,Extreme temperature ,Heat wave,,Albania,"Berat, Bulqize, Delvine, Devoll, Diber, Durres, Elbasan, Fier, Gjirokastër, Gramsh, Has, Kavaje, Kolonjë, Korce, Krujë, Kucove, Kukës, Kurbin, Lezhë, Librazhd, Lushnjë, Malesi E Madhe, Mallakaster, Mat, Mirditë, Peqin, Permet, Pogradec, Puke, Sarandë, Shkoder, Skrapar, Tepelenë, Tirane, Tropojë, Vlore provinces"
1985,Extreme temperature ,Severe winter conditions,,Albania,
2012,Extreme temperature ,Severe winter conditions,,Albania,"Puke, Shkoder, Kukes, Librazhd, Korce provinces, Peshkopi district (Diber province)"
2017,Extreme temperature ,Severe winter conditions,,Albania,"Peshkopi, Bulqiza, Kukes, Puka, Skhodra, Mirdita and Pogradec"
2017,Extreme temperature ,Cold wave,,Algeria,"Eastern, Central, high plateau regions. Municipalities of Batna, Biskra, Tizi-Ouzou, Sétif, Souk-Ahras, Laghouat, Jijel, Constantine, Médéa, Djelfa, Tissemsilt, Khenchla, Mila, Oum el Bouaghi, Tébéssa, Bouira, Bordj Bou Arreridj, El Taref, El Bayad, Bejaia, Saida and Gueulma."
2019,Extreme temperature ,Cold wave,,Algeria,"Tizi Ouzou, Medea, Setif, Bourdj Bouriridj, Batna, Bejaia Bouira, Boumerdes, Jijel (northern governorates); Oum El Bouaghi, El Bayedh, Khanchela (high plateau North-East); Naama governortae (West)"
2003,Extreme temperature ,Heat wave,,Algeria,Adrar (province?/district?)
1995,Extreme temperature ,Cold wave,,Argentina,"Rawson, sarmiento, El Maiten, Epuyen, Alto Rio Surgen, Cholila, El Hoyo y Carrenleufeu"
2000,Extreme temperature ,Cold wave,,Argentina,"Buenos Aires, Sante Fe, Formosa, Santa Cruz provinces"
2001,Extreme temperature ,Cold wave,,Argentina,"Chubut, Neuquen, Rio Negro (Patagonia), Catamarca, Buenos Aires provinces"
2002,Extreme temperature ,Cold wave,,Argentina,"Catamarca, Chaco, Corrientes, Formosa, Jujuy, Misiones, Salta, Santiago Del Estero, Tucuman provinces"
2004,Extreme temperature ,Cold wave,,Argentina,"Mar del Plata city (General Pueyrredon district, Buenos Aires province)"
2010,Extreme temperature ,Cold wave,,Argentina,"Buenos Aires, Buenos Aires D.f., Catamarca, Chaco, Chubut, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago Del Estero, Tierra Del Fuego, Tucuman provinces"
1972,Extreme temperature ,Heat wave,,Argentina,Buenos Aires
2007,Extreme temperature ,Severe winter conditions,,Argentina,"Rosario district (Santa Fe province), Cordoba, San Luis, Buenos Aires, Buenos Aires D.f., Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra Del Fuego, Mendoza, La Rioja provinces"
2013,Extreme temperature ,Severe winter conditions,,Armenia,Yerevan province
1993,Extreme temperature ,Heat wave,,Australia,South-east Australia
1994,Extreme temperature ,Heat wave,,Australia,Townsville
1994,Extreme temperature ,Heat wave,,Australia,Southern NSW
1995,Extreme temperature ,Heat wave,,Australia,Western Sydney
2009,Extreme temperature ,Heat wave,,Australia,"Victoria, New South wales (South), Tasmania (Northern) provinces"
2014,Extreme temperature ,Heat wave,,Australia,"Western Australia, Victoria provinces"
2018,Extreme temperature ,Heat wave,,Australia,
2009,Extreme temperature ,Cold wave,,Austria,Steiermark province
2012,Extreme temperature ,Cold wave,,Austria,"Burgenland, Karnten, Niedterosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Voralberg, Wien provinces"
2003,Extreme temperature ,Heat wave,,Austria,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Steiernark, Salzburg, Tirol, Voralberg, Wien provinces"
2007,Extreme temperature ,Heat wave,,Austria,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien provinces"
2019,Extreme temperature ,Heat wave,,Austria,
2005,Extreme temperature ,Severe winter conditions,,Austria,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien provinces"
2012,Extreme temperature ,Cold wave,,Azerbaijan,Baku district (Absheron province)
1989,Extreme temperature ,Cold wave,,Bangladesh,North
1989,Extreme temperature ,Cold wave,,Bangladesh,
1990,Extreme temperature ,Cold wave,,Bangladesh,
1990,Extreme temperature ,Cold wave,,Bangladesh,
1991,Extreme temperature ,Cold wave,,Bangladesh,West and North Bangladesh
1994,Extreme temperature ,Cold wave,,Bangladesh,North and Northwestern districts
1995,Extreme temperature ,Cold wave,,Bangladesh,"Rajshahi, Rangpur, Pabna, Dinajpur"
1996,Extreme temperature ,Cold wave,,Bangladesh,"Gaibandha, Dinajpur, Rangpur, Nilphamari "
1997,Extreme temperature ,Cold wave,,Bangladesh,Dinajpur (level 2) Level 1 = Rajshahi
1998,Extreme temperature ,Cold wave,,Bangladesh,"Jessore, Rajshahi, Khulna"
2000,Extreme temperature ,Cold wave,,Bangladesh,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces"
2001,Extreme temperature ,Cold wave,,Bangladesh,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari districts (Rangpur province), Satkhira, Jessore districts (Khulna province), Sylhet, Sunamganj districts (Sylhet province)"
2002,Extreme temperature ,Cold wave,,Bangladesh,"Rajshahi, Rangpur provinces"
2003,Extreme temperature ,Cold wave,,Bangladesh,"Chittagong, Dhaka, Rajshahi, Rangpur provinces"
2009,Extreme temperature ,Cold wave,,Bangladesh,"Rajbari, Manikganj, Tangail, Sherpur districts (Dhaka province), Damurhuda, Sadar, Jiban Naga (Chuadanga district, Khulna province), Jessore, Bagerhat, Khulna, Meherpur, Satkhira districts (Khulna province), Sadar, Sripur (Magura district, Khulna province), Naogaon, Pabna, Bogra, Sirajganj districts (Rajshahi province), Biral, Fulbari (Dinajpur district, Rangpur province), Fulchari, Sundarganj, Saghata, Gabindaganj, Sadullapu (Gaibandha district, Rangpur province), Tentulia, Debiganj, Atwari (Panchagarh district, Rangpur province), Baliadangi, Haripur, Ranisenkail (Thakurgaon district, Rangpur province), Dimla, Jaldhaka (Nilphamari district, Rangpur province), Hatibandha, Patgram, Aditmari (Lalmonirhat district, Rangpur province), Roumari, Chilmari, Ulipur (Kurigram district, Rangpur province), Gangachara, Pirganj (Rangpur district, Rangpur province)"
2011,Extreme temperature ,Cold wave,,Bangladesh,"Barguna district (Barisal province), Nazirpur upazila (Pirojpur district, Barisal province), Gaibandha, Kurigram, Thakurgaon, Dinajpur districts (Rangpur province), Gabura city (Rangpur district, Rangpur province), Domar upazila (Nilphamari district, Rangpur province), Tetulia upazila (Panchagarh district, Rangpur province), Dakope upazila (Khulna district, Khulna province), Kushtia, Chuadanga districts (Khulna province), Kalaroa upazila (Satkhira district, Khulna province), Tarail upazila (Kishoreganj district, Dhaka province), Manikganj, Sherpur districts (Dhaka province), Sirajganj, Rajshahi districts (Rajshahi province), Ishwardi city (Pabna district, Rajshahi province)"
2011,Extreme temperature ,Cold wave,,Bangladesh,"Barisal, Chittagong, Khulna, Rangpur provinces"
2012,Extreme temperature ,Cold wave,,Bangladesh,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari, Lalmonirhat, Rangpur, Kurigram, Gaibandha districts (Rangpur province), Bogra, Joypurhat, Naogaon, Nawabganj, Rajshahi, Natore, Sirajganj, Pabna districts (Rajshahi province), Mymensingh, Faridpur, Madaripur districts (Dhaka province), Maulvibazar district (Sylhet province), Kushtia, Jessore districts (Khuna province)"
2018,Extreme temperature ,Cold wave,,Bangladesh,
2019,Extreme temperature ,Cold wave,,Bangladesh,"Chuadanga, Dinajpur, Panchagarh, Rajshahi, Pabna, Naogaon, Nilphamari, Jessore, Kurigramare districts "
