Year,Type,Subtype,Name,Country,Location
1993,Insect infestation,Locust,Locust,Afghanistan,
1987,Insect infestation,Locust,Locust,Algeria,"Tindouf, Adrar"
1988,Insect infestation,,,Algeria,Saharan Atlas mountains
2000,Insect infestation,Locust,Locust,Australia,"South Australia, New South Wales, Queensland"
2004,Insect infestation,Locust,,Australia,NSW
1986,Insect infestation,Locust,Locust,Botswana,
1991,Insect infestation,,Mosquitoes,Brazil,Tucurui
1986,Insect infestation,Grasshopper,Grasshopper,Burkina Faso,"Northern, Eastern regions"
1987,Insect infestation,Grasshopper,Grasshopper,Burkina Faso,
2004,Insect infestation,Locust,,Burkina Faso,
1988,Insect infestation,Locust,Locust,Cabo Verde,
2004,Insect infestation,Locust,,Cabo Verde,
1987,Insect infestation,Grasshopper,Grasshopper,Cameroon,
1998,Insect infestation,,,Cameroon,Northern
1986,Insect infestation,Grasshopper,Grasshopper,Chad,Laka Chad area
1987,Insect infestation,Grasshopper,Grasshopper,Chad,
1988,Insect infestation,Locust,"Grasshopper, Locust",Chad,"Western, Central, Eastern, Northeastern prefectures"
2004,Insect infestation,Locust,,Chad,
1987,Insect infestation,,Rat,Chad,All regions
2001,Insect infestation,Locust,Locust,China,From Hainan to Xinjiang provinces
1995,Insect infestation,,,Colombia,Manizales
2019,Insect infestation,Locust,,Djibouti,
1995,Insect infestation,Locust,Locust,Eritrea,
2019,Insect infestation,Locust,,Eritrea,
1986,Insect infestation,Locust,"Locusts, armyworms",Ethiopia,"Eritrea, Tigray"
1987,Insect infestation,Locust,Locust & other,Ethiopia,
1988,Insect infestation,Locust,"Locusts, armyworms",Ethiopia,"Tigray,Eritrea"
1992,Insect infestation,Locust,Locust,Ethiopia,Northern coastal plains and highlands Eritrea
2019,Insect infestation,Locust,,Ethiopia,"Afar, Amhara, Oromia, Somali,Tigrayan regional states"
1987,Insect infestation,Grasshopper,Grasshopper,Gambia (the),
1988,Insect infestation,Locust,Desert locusts,Gambia (the),
2004,Insect infestation,Locust,,Gambia (the),
1986,Insect infestation,,,Gambia (the),Countrywide
1986,Insect infestation,Grasshopper,Grasshopper,Guinea-Bissau,
1987,Insect infestation,Grasshopper,Grasshopper,Guinea-Bissau,
1978,Insect infestation,Locust,Locust,Guinea-Bissau,"North, North-East regions"
1993,Insect infestation,Locust,Locust,India,"Gujarat, Rajasthan states"
2020,Insect infestation,Locust,,Iran (Islamic Republic of),"Khouzestan, Boushehr, Fars,Hormozgan, South Kerman and Sistan, Balouchestan provinces."
1989,Insect infestation,Locust,Desert locust,Jordan,
2019,Insect infestation,Locust,,Kenya,
2009,Insect infestation,,Caterpillar,Liberia,"Zota district (Bong County), Suakoko, Sanoyea, Salala districts"
1944,Insect infestation,Locust,Locust,Libya,
1997,Insect infestation,Locust,Locust,Madagascar,South & Southwest
2010,Insect infestation,,,Madagascar,Southern
1985,Insect infestation,Grasshopper,"Grasshoper, Quelea bird",Mali,"Kayes, Yelimane, Nara"
1986,Insect infestation,Grasshopper,Grasshopper,Mali,"North Central region, Niger River Delta"
1987,Insect infestation,Grasshopper,Grasshopper,Mali,
1988,Insect infestation,Locust,"Locust, Grassshoppers",Mali,"Eastern, Western"
2004,Insect infestation,Locust,,Mali,North
1985,Insect infestation,Locust,"Grasshopper, desert locust",Mauritania,South-East
1987,Insect infestation,Locust,"Locust, grasshopper",Mauritania,"Southwest, North, East, South"
1988,Insect infestation,Locust,"Desert locust, Grasshopper",Mauritania,"North, East, South"
2004,Insect infestation,Locust,,Mauritania,
1987,Insect infestation,Locust,Locust,Morocco,Southeastern
1988,Insect infestation,Locust,Desert locust,Morocco,South
1988,Insect infestation,Locust,Locust,Morocco,"Guelimine, Errachidia, Ouarzazate, Foum Zguid (Atlas Mts. Region)"
2004,Insect infestation,Locust,,Morocco,
1988,Insect infestation,,,Mozambique,"Maputo, Niassa"
1986,Insect infestation,Grasshopper,Grasshopper,Niger (the),"Niamey, Dosso, Diffa"
1987,Insect infestation,Grasshopper,Grasshopper,Niger (the),
1913,Insect infestation,Locust,Locust,Niger (the),
1930,Insect infestation,Locust,Locust,Niger (the),
1988,Insect infestation,Locust,Locust + grasshopper,Niger (the),"Diffa, Tahoua, Central Niger"
2004,Insect infestation,Locust,,Niger (the),South and Center
1986,Insect infestation,Grasshopper,Grasshopper,Nigeria,Northern regions
2004,Insect infestation,Locust,,Nigeria,"Sokoto, Zamfara, Kebbi"
2020,Insect infestation,Locust,,Pakistan,"Blochistan, Punjab, Sindh, Khyber Pakhtunkhwa Provinces "
1993,Insect infestation,,,Pakistan,"Tharparker, Nara, Cholistan desert"
2000,Insect infestation,Locust,Locust,Peru,"Cajamarca, Lambayeque"
1975,Insect infestation,,,Philippines (the),Davao Del Sur and Norte
1995,Insect infestation,,,Philippines (the),Floridablanca Pampanga
2001,Insect infestation,Locust,Locust,Russian Federation (the),Dagestan
1986,Insect infestation,Grasshopper,Grasshopper,Senegal,Northern regions
1987,Insect infestation,Grasshopper,Grasshoper,Senegal,
1988,Insect infestation,Locust,Locusts,Senegal,Countrywide
1988,Insect infestation,Locust,Locust,Senegal,"Northern, Eastern regions"
2004,Insect infestation,Locust,,Senegal,"Matam, Bakel departments (North)"
2019,Insect infestation,Locust,,Somalia,Northern and central Somalia
1988,Insect infestation,Locust,Deserts locuts,Sudan (the),"Darfur province, Khartoum area"
2004,Insect infestation,Locust,,Sudan (the),Darfur region
2019,Insect infestation,Locust,,Sudan (the),
1986,Insect infestation,,,Sudan (the),
1987,Insect infestation,,,Sudan (the),"Central Northern Kordofan, Northern Darfur provinces"
1988,Insect infestation,,,Sudan (the),"East Sudan, Red Sea province"
1995,Insect infestation,Locust,Locust,Tajikistan,Southern region
1986,Insect infestation,Locust,Red locust,"Tanzania, United Republic of",Western
2019,Insect infestation,Locust,,"Tanzania, United Republic of",
2006,Insect infestation,,,"Tanzania, United Republic of","Iringa, Dodoma, Singida, Manyara, Morogoro, Lindi (Central and Southern Tanzania"
1988,Insect infestation,Locust,Locust,Tunisia,"Gafsa, Sfax Axis"
1988,Insect infestation,Locust,Locust,Tunisia,
2019,Insect infestation,Locust,,Uganda,
1978,Insect infestation,,,Viet Nam,
1987,Insect infestation,Locust,Desert locust,Yemen Arab Rep,Northern Tihama
1974,Insect infestation,,Army worm,Yemen Arab Rep,
1979,Insect infestation,Locust,Locuts,Zambia,
1986,Insect infestation,Locust,Locusts,Zambia,"Kafue Flats, North province"
