Year,Type,Subtype,Name,Country,Location
1987,Landslide,Avalanche,,Afghanistan,
1993,Landslide,Avalanche,,Afghanistan,Salang district (Parwan province)
1997,Landslide,Avalanche,,Afghanistan,"Mazar-E-Sharif (city) (Balkh, Hindu Kush)"
1998,Landslide,Avalanche,,Afghanistan,Salang - Salang Tunnel Level 1 = Baghlan
2002,Landslide,Avalanche,,Afghanistan,Salang district (Parwan province)
2006,Landslide,Avalanche,,Afghanistan,Kohestan district (Badakhshan province)
2009,Landslide,Avalanche,,Afghanistan,"Salang mountain pass (Hindu Kush mountains, Salang district, Parwan province)"
2010,Landslide,Avalanche,,Afghanistan,"Salang mountain pass (Hindu Kush mountains, Salang district, Parwan province)"
2010,Landslide,Avalanche,,Afghanistan,Arghanjkhwa district (Badakhshan province)
2012,Landslide,Avalanche,,Afghanistan,"Arghanjkhwa, Eshkmesh, Khwahan, Kohestan, Kofab, Raghestan, Shuhada, Shahr-e-Buzorg, Yaftal-e-Sufla, Yawan districts (Badakhshan province)"
2012,Landslide,Avalanche,,Afghanistan,Shaki district (Badakhshan province)
2012,Landslide,Avalanche,,Afghanistan,Nuristan province
2015,Landslide,Avalanche,,Afghanistan,"Laghman, Nangarhar, Panjsher, Badakhshan, Bamyan provinces"
2015,Landslide,Avalanche,,Afghanistan,Raghestan district (Badakhshan province)
2015,Landslide,Avalanche,,Afghanistan,Yamgan district 
2017,Landslide,Avalanche,,Afghanistan,"Afsay Village - Barg-e-Matal district (Nuristan province), Nuristan"
2017,Landslide,Avalanche,,Afghanistan,Dawaz Bala (Badakhshan province)
2020,Landslide,Avalanche,,Afghanistan,Daykundi Province
2021,Landslide,Avalanche,,Afghanistan,"Zarandab Village (Raghistan District, Badakhshan Province)"
1971,Landslide,Landslide,,Afghanistan,Khinjan Pass
1995,Landslide,Landslide,,Afghanistan,"Kurluk Zir Kutal (Daraim district, Badakhshan Province)"
2006,Landslide,Landslide,,Afghanistan,"Ghuldori village (Kohestanat district, Sar-e-Pul province) "
2013,Landslide,Landslide,,Afghanistan,Zebak district (Badakhshan province)
2015,Landslide,Landslide,,Afghanistan,"Geriy Bala village (Khwahan district, Badakhshan province), Abi Barik village (Argo district, Badakhshan province), Jawzjan, Faryab, Sar-e-Pul, Baghlan, Balkh provinces"
2019,Landslide,Landslide,,Afghanistan,Badakhshan Province
1993,Landslide,Mudslide,,Afghanistan,"Chindawal district (Kabul), Badakhstan province"
2018,Landslide,Mudslide,,Afghanistan,khenj district (Panjshir)
2018,Landslide,Mudslide,,Afghanistan,"Peshghor (Khenj district, Panjshir)"
1985,Landslide,Avalanche,,Albania,North
1993,Landslide,Landslide,,Algeria,Oran
2000,Landslide,Landslide,,Angola,"Chassuala village (Saurimo district, Lunda-Sul province)"
1965,Landslide,Landslide,,Argentina,"Mendoza, Las Cuevas"
1984,Landslide,Landslide,,Argentina,"Vescupio, Northeast, Northwestern provinces"
2009,Landslide,Landslide,,Argentina,"Tartagal town (Genaral Jose de San Martin district, Salta Province)"
2017,Landslide,Landslide,,Argentina,"Jujuy Province; Volcán, Bárcenas, Purmamarca (Tumbaya department); León (Dr Manuel Belgrano), Santa Barbara, San Martín (Ledesma), Tumbaya, Humahuaca"
2014,Landslide,,,Argentina,"El Rodeo town (Ambato district, Catamarca province)"
2016,Landslide,Landslide,,Armenia,"Karchaghbyur city (Vardanis district, Gegharqunik province), Artik city (Artik district, Shirak province)"
1996,Landslide,,,Australia,Gracetown
1997,Landslide,,,Australia,Thredbo
1954,Landslide,Avalanche,,Austria,Dalaas
1954,Landslide,Avalanche,,Austria,"Blons, Langen Valley"
1982,Landslide,Avalanche,,Austria,Near Salzburg
1984,Landslide,Avalanche,,Austria,Swiss border
1999,Landslide,Avalanche,,Austria,"Galtuer, Valzur"
2000,Landslide,Avalanche,,Austria,"Kitzsteinhorn (Zell am See, Salzburg)"
1952,Landslide,,,Austria,
1975,Landslide,,,Austria,Alps
2000,Landslide,Avalanche,,Azerbaijan,Dashkesan city (Dashkesan district; Ganja-Gazakh province)
1997,Landslide,,,Azores Islands,"Ribeira Quente Village, Sao Miguel"
2008,Landslide,Landslide,,Bangladesh,"Chittagong city (Chittagong district, Chittagong province)"
2010,Landslide,Landslide,,Bangladesh,"Cox's Bazar, Bandarban districts (Chittagong province)"
2011,Landslide,Landslide,,Bangladesh,"Chittagong city (Chittagong district, Chittagong province)"
