Year,Type,Subtype,Name,Country,Location
1908,Mass movement (dry),Landslide,,Canada,"Notre Dame de La Salette, Quebec"
1955,Mass movement (dry),Landslide,,Canada,Nicolet (Quebec)
1971,Mass movement (dry),Landslide,,Canada,Jean Vianney (Quebec)
1903,Mass movement (dry),Rockfall,,Canada,"Frank, Alberta"
1905,Mass movement (dry),Rockfall,,Canada,"Spence's Bridge, British Columbia"
1983,Mass movement (dry),Landslide,,China,"Mt.Sale (Dongxiang arera, N.W.Gansu)"
1990,Mass movement (dry),Landslide,,China,Yunnan province
1990,Mass movement (dry),Landslide,,China,Wenzhou (Zhejiang province)
1992,Mass movement (dry),Landslide,,China,Jijiagou (Shanxi province)
2004,Mass movement (dry),Landslide,,China,"Zuojiaying village (Liupanshui Shi area, Liupanshui district, Guizhou Sheng province)"
2006,Mass movement (dry),Landslide,,China,"Shiji village (Kangding area, Garze Tibetan district, Sichuan Sheng province)"
2013,Mass movement (dry),Landslide,,China,"Zhaojiagou village (Zhaotong district, Yunnan Sheng province)"
1993,Mass movement (dry),Landslide,,Colombia,Antioquia Province
2008,Mass movement (dry),Landslide,,Colombia,Medellin district (Antioquia province)
1983,Mass movement (dry),Rockfall,,Colombia,Gachala
2002,Mass movement (dry),Landslide,,Ecuador,"Santiago De Mendez municipality (Santiago district, Morona Santiago province)"
2008,Mass movement (dry),Rockfall,,Egypt,Minshat Nasir district (Cairo province)
1993,Mass movement (dry),Subsidence,,Egypt,Mokattam (Cairo)
1991,Mass movement (dry),Landslide,,Ethiopia,Hararghe Province
2009,Mass movement (dry),Landslide,,Guatemala,"Aquil Grande, Aquil Pequeno, Independencia, Zacaton (San Cristobal Verapaz district, Alta Verapraz province)"
1991,Mass movement (dry),Rockfall,,Guatemala,Quetzaltenango province
1989,Mass movement (dry),Avalanche,,Honduras,
2012,Mass movement (dry),Avalanche,,India,Adminitrative unit not available districts (Jammu and Kashmir province)
1989,Mass movement (dry),Landslide,,India,North India
1987,Mass movement (dry),Landslide,,Indonesia,Padang Panjang (West Sumatra)
1937,Mass movement (dry),Landslide,,Jamaica,"Millbank, Portland"
1983,Mass movement (dry),Landslide,,Lebanon,Bekaa valley
1982,Mass movement (dry),Landslide,,Liberia,Near Mano river
1993,Mass movement (dry),Landslide,,Malaysia,Kuala Lumpur
1988,Mass movement (dry),Rockfall,,Morocco,Near Fes
2018,Mass movement (dry),Landslide,,Myanmar,Hpakant (Kachine state)
1963,Mass movement (dry),Landslide,,Nepal,Trisuli
1988,Mass movement (dry),Avalanche,,Pakistan,"Arandu Gul - Jammu, Kashmir regions"
2015,Mass movement (dry),Rockfall,,Pakistan,"Gulistane Jauhar area (Karachi East District district, Sindh province)"
1988,Mass movement (dry),Landslide,,Papua New Guinea,Kaiapit district (Morobe province)
2008,Mass movement (dry),,Gold mine,Papua New Guinea,"Kainantu gold mine site (Kainantu district, Eastern Highlands province)"
1962,Mass movement (dry),Landslide,,Peru,Ranrahirca area
1985,Mass movement (dry),Landslide,,Peru,La Hoyada region
1985,Mass movement (dry),Landslide,,Philippines (the),South Mindanao
2000,Mass movement (dry),Landslide,,Philippines (the),"Apayao, Kalinga districts (Cordillera Administrative region (CAR) province)"
1980,Mass movement (dry),Rockfall,,Philippines (the),Santa Fe (Vizcaya Province)
1987,Mass movement (dry),Landslide,,Soviet Union,Argazan (Tajikistan)
1989,Mass movement (dry),Landslide,,Soviet Union,Checheno-Ingush (Russian Federation)
1991,Mass movement (dry),Landslide,,Soviet Union,"Near Angren (Uzbekistan), Kyrgystan"
2017,Mass movement (dry),Rockfall,,Switzerland,"Bregaglia Valley, Bondo in Graubünden canton"
1992,Mass movement (dry),Avalanche,,Tajikistan,
1992,Mass movement (dry),Avalanche,,Turkey,"Sirnak, Siirt, Elazig, Batman, Bingol, Diyarbakir, Hakkari, Tunceli provinces"
1992,Mass movement (dry),Landslide,,Uzbekistan,
