Year,Type,Subtype,Name,Country,Location
2006,Storm,Convective storm,,Afghanistan,Badakhshan province
2011,Storm,Convective storm,,Afghanistan,Daykundi province
2014,Storm,Convective storm,,Afghanistan,"Jawzjan, Faryab, Kunduz, Kabul provinces"
2017,Storm,Convective storm,,Afghanistan,"Darzab district (Jawzjan province); Bamyan, Shawel region (Baghlan province)"
2017,Storm,Convective storm,,Afghanistan,"Kabul province, Kohistan, Pashtoonkot, Andkhoy, Qurmkul, Balcheragh, and Dawlat districts (Faryab province)"
2020,Storm,Convective storm,,Afghanistan,"Helmand, Kandahar, Zabul, Uruzgan, Laghman, Herat, Badghis, Ghor, Daykundi, Bamyan, Baghlan provinces"
1993,Storm,,,Afghanistan,Chah-i-Ab district (Takhar Province)
2005,Storm,,,Afghanistan,"Badakhshan, Daykundi, Ghazni, Paktika, Ghor, Zabul, Uruzgan, Wardak provinces"
2006,Storm,,,Afghanistan,"Deh Mardi, Deh Yak villages (Sancharak district, Sar-e-Pul province), Gholdori, Aular village (Kohestanat district, Sar-e-Pul province), Lash-e-Juwayn district (Farah province), Kandahar province"
2002,Storm,Convective storm,,Albania,"Diber, Bulqize, Mat, Shkoder, Malesi E Madhe, Puke, Kukes, Has, Tropoje, Lezhe, Kurbin, Mirdite provinces (Shkoder, Diber, Kukes, Lezhe prefectures) (Shkoder, Diber, Puke, Kukes, Dibrell, Chukkas, Lezhe most affected cities)"
2005,Storm,Convective storm,,Albania,"Kukes, Has, Tropoje, Diber, Bulqize, Mat, Shkoder, Malesi E Madhe, Puke, Lezhe, Kurbin, Mirdite, Korce, Devoll, Kolonje, Pogradec, Elbasan, Gramsh, Librazhd, Peqin, Berat, Kucove, Skrapar, Gjirokaster, Permet, Tepelene, Vlore, Delvine, Sarande, Vlore Has provinces"
1988,Storm,,,Algeria,"Guezzam, Tin Zawaten, Badji Moktar"
2000,Storm,,,Algeria,"Bejaia, Alger provinces"
2003,Storm,,,Algeria,"Alger, Bejaia, Tizi Ouzou, Annaba, Oran provinces"
2005,Storm,,,Algeria,"Annaba, Alger, Jijel, Tizi Ouzou provinces"
1966,Storm,Tropical cyclone,,American Samoa,
1989,Storm,Tropical cyclone,Gina,American Samoa,
2004,Storm,Tropical cyclone,Heta,American Samoa,American Samoa
2005,Storm,Tropical cyclone,Olaf,American Samoa,Manu'a island
1983,Storm,Convective storm,,Anguilla,
1955,Storm,Tropical cyclone,Alice,Anguilla,
1960,Storm,Tropical cyclone,Donna,Anguilla,South Hille and West End
1979,Storm,Tropical cyclone,Frederic,Anguilla,
1984,Storm,Tropical cyclone,Klaus,Anguilla,
1999,Storm,Tropical cyclone,Lenny,Anguilla,
2017,Storm,Tropical cyclone,Hurricane 'Irma',Anguilla,
1950,Storm,Tropical cyclone,Dog,Antigua and Barbuda,
1960,Storm,Tropical cyclone,Donna,Antigua and Barbuda,
1966,Storm,Tropical cyclone,Inez,Antigua and Barbuda,
1989,Storm,Tropical cyclone,Hugo,Antigua and Barbuda,
1990,Storm,Tropical cyclone,Gustav,Antigua and Barbuda,
1995,Storm,Tropical cyclone,Luis,Antigua and Barbuda,
1998,Storm,Tropical cyclone,Georges,Antigua and Barbuda,"Liberta, Crabbe Hill, Five Islands, All Saint Village, Bolans"
1999,Storm,Tropical cyclone,Jose,Antigua and Barbuda,"Crab's Hill, Five Isl., Cobbs Cross"
1999,Storm,Tropical cyclone,Lenny,Antigua and Barbuda,
2008,Storm,Tropical cyclone,"Hurricane ""Omar""",Antigua and Barbuda,All country affected (no more data)
2010,Storm,Tropical cyclone,Hurricane Earl,Antigua and Barbuda,All country affected (no data)
2017,Storm,Tropical cyclone,Hurricane 'Irma',Antigua and Barbuda,"Barbuda, St John and St George districts (Crosbies, Fort Road, Clare Hall, Grays Farm, Pigotts) (Antigua)"
1973,Storm,Convective storm,,Argentina,San Justo
1986,Storm,Convective storm,,Argentina,La Riojaprovince
2000,Storm,Convective storm,,Argentina,"Buenos Aires D.f., Buenos Aires provinces"
2000,Storm,Convective storm,,Argentina,"Neugen, Rio Negro, Chubut, Santa Cruz (Patagonia region)"
2003,Storm,Convective storm,,Argentina,"Sante Fe, Cordoba, Buenos Aires provinces"
