Year,Type,Subtype,Name,Country,Location
1991,Volcanic activity,Ash fall,Mt Hudson,Argentina,Santa Cruz
2008,Volcanic activity,Ash fall,Chaiten,Argentina,"Bariloche district (Rio Negro Province), Chubut province"
2011,Volcanic activity,Ash fall,"Volcano ""Puyehue""",Argentina,"San Martin de Los Andes town (Lacar district, Neuquen province), Bariloche district (Rio Negro province), Chubut province"
2015,Volcanic activity,Ash fall,Calbuco,Argentina,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)"
2019,Volcanic activity,Ash fall,Ubinas,Bolivia (Plurinational State of),"Lake Titicaca on the Peru-Bolivia border, La Paz department"
1995,Volcanic activity,Ash fall,Fogo,Cabo Verde,Fogo Island
2014,Volcanic activity,Lava flow,Pico do Fogo,Cabo Verde,"Bangaeira, Djeu Lorna, Portela, Cha das Caldeiras villages (Sao Filipe district, Fogo province)"
1984,Volcanic activity,Ash fall,Volcanic lake Monoum,Cameroon,Lake Monoun
1986,Volcanic activity,Ash fall,Lake Nyos,Cameroon,Lake Nyos (Wum region)
1999,Volcanic activity,Ash fall,Mont Cameroon,Cameroon,"Idenau, Bakingili, Batoke"
2021,Volcanic activity,Lava flow,Cumbre Vieja volcano,Canary Is,La Palma Island
1948,Volcanic activity,Ash fall,,Chile,
1964,Volcanic activity,Ash fall,,Chile,Villarica
1988,Volcanic activity,Ash fall,Lonquimay,Chile,Lonquimay
1991,Volcanic activity,Ash fall,Hudson,Chile,
1993,Volcanic activity,Ash fall,Lascar,Chile,
2008,Volcanic activity,Ash fall,Chaiten,Chile,"Chaiten, Futaleufu towns (Palena district, Los Lagos province)"
2011,Volcanic activity,Ash fall,"Volcano ""Puyehue""",Chile,"Futrono, Lago Ranco, Rio Bueno towns (Ranco district, Los Rios province)"
2015,Volcanic activity,Ash fall,Calbuco,Chile,"Ensenada town (Llanquihue district, Los Lagos province)"
2015,Volcanic activity,Ash fall,Villarrica,Chile,"Vallarica, Pucon, Cararrehue municipalities, Temuco town (Cautin district, Araucania province), Conaripe municipality (Valdivia district, Los Rios province)"
1949,Volcanic activity,Ash fall,Purace,Colombia,
1985,Volcanic activity,Ash fall,Nevado Del Ruiz,Colombia,"Armero, Chinchina, Casablanca, Herveo, Libano, Murillo, Villahermosa"
1988,Volcanic activity,Ash fall,Nevado Del Ruiz,Colombia,
1993,Volcanic activity,Ash fall,Galeras,Colombia,Narino Province
2005,Volcanic activity,Ash fall,Galeras,Colombia,"Consacra, Pasto, Sandona, Tangua, Yacuanquer districts (Nariño province)"
2006,Volcanic activity,Ash fall,Galeras,Colombia,"Pasto, La Florida districts (Nariño province)"
2006,Volcanic activity,Ash fall,Mount Galeras,Colombia,"La Florida, Ancuya, Sandona, Consaca districts (Nariño province)"
2007,Volcanic activity,Ash fall,Nevado del Huila,Colombia,"Tierradentro town (Inza district, Cauca province), Paez Belalcázar, Avirama, Cohetando, Toez, Vitonco, Yosayo, Mosoco, San Jose, Lame, Suin, Chinas, Buco towns (Paez district, Cauca province), Caloto district (Cauca province) La Plata, Paicol, Iquira, Teruel, Tesalia and Nataga districts (Huila province)"
2008,Volcanic activity,Ash fall,Nevado del Huila,Colombia,"Paez Belalcázar, Toez, Avirama, Togoima, Cohetango, Talaga, Wila, Los Guadalupes, El Jardin, Bello Horizonte, Las Americas, Avenida Santaander, El Centro, San Fernando, La Primavera, Panamericano, Villa del Norte, El Salado, Hoez, Ricaurte, Pickwe Tha Fim (Paez district, Cauca Province), Inza district (Cauca Province),Tesalia, Nataga, Paicol, La Plata (Huila department) "
2008,Volcanic activity,Ash fall,Mount Galeras,Colombia,"Genoy town (Pasto distrit, Nariño Province), Sandona, Yacuanquer, Consaca districts (Nariño Province)"
2008,Volcanic activity,Ash fall,Nevado del Huila,Colombia,"Miranda, Toribio, Paez, Inza districts (Cauca province), Iquira, Santa Maria, Palermo, Teruel, La Plata, Paicol, Tesalia, Nataga districts (Huila province), Rioblanco, Planadas districts (Tolima province)"
1903,Volcanic activity,Ash fall,Mount Karthala,Comoros (the),
1977,Volcanic activity,Ash fall,Mount Karthala,Comoros (the),Grande Comore
1991,Volcanic activity,Ash fall,Kartala,Comoros (the),Grande Comore
2005,Volcanic activity,Ash fall,Karthala ,Comoros (the),"Dimani, Pidjani villages (Ngazidja province)"
2005,Volcanic activity,Ash fall,Karthala,Comoros (the),Ngazidja province
2006,Volcanic activity,Ash fall,Karthala,Comoros (the),Ngazidja province
1977,Volcanic activity,Ash fall,Mt. Nyiragongo,Congo (the Democratic Republic of the),Near Goma
2001,Volcanic activity,Ash fall,Mt. Nyamuragira,Congo (the Democratic Republic of the),"Nord-Kivu, Sud-Kivu provinces"
2002,Volcanic activity,Ash fall,Mt. Nyiragongo,Congo (the Democratic Republic of the),Goma district (Nord-Kivu province)
2021,Volcanic activity,Lava flow,Mount Nyiragongo,Congo (the Democratic Republic of the),Goma
1963,Volcanic activity,Ash fall,,Costa Rica,Mesata Central
1968,Volcanic activity,Ash fall,Mount Arenal,Costa Rica,North
1975,Volcanic activity,Ash fall,Mt Arenal,Costa Rica,
1976,Volcanic activity,Ash fall,Mt Arenal,Costa Rica,
1991,Volcanic activity,Ash fall,Pacaya,Costa Rica,San Vicente Pacaya (Escuintlia department)
1998,Volcanic activity,Ash fall,Arenal,Costa Rica,
2015,Volcanic activity,Ash fall,Turrialba,Costa Rica,Turrialba district (Cartago province)
1975,Volcanic activity,Ash fall,El Sangay,Ecuador,El Sangay
1975,Volcanic activity,Ash fall,,Ecuador,Cotapaxi
1976,Volcanic activity,Ash fall,Cotopaxi,Ecuador,Cotopaxi
1999,Volcanic activity,Ash fall,"Guagua Pinchicha, Tungurahua",Ecuador,"Ambato (Tungurahua Province), Riobamba (Chimborazo Province)"
2001,Volcanic activity,Ash fall,Tungurahua,Ecuador,"Quero, Cevallos, Mocha, San Pedro de Pelileo, Tisaleo districts (Tungurahua province), Penipe, Guano districts (Chimborazo province)"
2002,Volcanic activity,Ash fall,Reventador,Ecuador,"Pedro Mancayo, Cayambe, Quito, Ruminahui, Mejia districts (Pichincha province), Gonzalo Pizarro district (Sucumbios province), El Chaco, Quijos districts (Napo province)"
2002,Volcanic activity,Ash fall,Tungurahua,Ecuador,Banos de Angua Santa district (Tungurahua province)
2003,Volcanic activity,Ash fall,Tungurahua,Ecuador,"Guano, Penipe districts (Chimborazo province), Cevallos, Mocha, Quero, San Pedro de Pelileo, Tisaleo districts (Tungurahua province) "
