Year,Type,Subtype,Name,Country,Location
1999,Wildfire,Forest fire,,Afghanistan,"Badil, Sholake, Hadwal, Dara Pech (settlements) - Kunar Province"
2007,Wildfire,Forest fire,,Albania,"Kolonje, Vlore, Puke, Tropoje provinces"
1994,Wildfire,Forest fire,,Algeria,
2007,Wildfire,Forest fire,,Algeria,Tzarifet forest (Tlemcen province)
2021,Wildfire,,,Algeria,"Tizi-Ouzou, Bouira, Sétif, Khenchela, Guelma, Bejaïa, Bordj Bou Arreridj, Boumerdès, Tiaret, Medea, Tébessa,Annaba, Souk Ahras, Ain Defla, Jijel, Batna, Blida Blida and Skikda prefectures (Kabylia region) "
1987,Wildfire,Forest fire,,Argentina,"Lanin area (Neuquen province), El Bolson area (Chubut province), Rio Negro province"
1999,Wildfire,Forest fire,,Argentina,Patagonia Province
2000,Wildfire,Forest fire,,Argentina,"La Pampa, Mendoza, San Luis, Formosa provinces"
2001,Wildfire,Forest fire,,Argentina,La Rioja province
2021,Wildfire,Forest fire,,Argentina,"Cholila (Cushamen), Lago Puelo (Cushamen), El Bolsón (Bariloche), El Maitén (Cushamen), Epuyén (Cushamen), Futaleufú and El Hoyo Towns (Cushamen) in Chubut and Santa Cruz Provinces; Rio Negro, Neuquen provinces (Patagonia)"
1994,Wildfire,"Land fire (Brush, Bush, Pasture)",,Argentina,"Near Puerto Madryn, Santa Rosa province, Pampa"
2003,Wildfire,Forest fire,,Australia,"Canberra region (Unincorporated ACT district, Australian Capital Territory province)"
2005,Wildfire,Forest fire,,Australia,"Eyre peninsula (Ceduna (DC), Cleve (DC), Elliston (DC), Franklin Harbour (DC), Kimba (DC), Lower Eyre Peninsula (DC), Port Augusta (C), Port Lincoln (C), Streaky Bay (DC), Tumby Bay (DC), Whyalla (C), Wudinna (DC) districts, South Australia province)"
2006,Wildfire,Forest fire,,Australia,"Victoria, New South Wales, Tasmania provinces"
2006,Wildfire,Forest fire,,Australia,"Tasmania, Victoria, New South Wales provinces"
2015,Wildfire,Forest fire,,Australia,"Wye River, Separation Creek cities (Colac-Otway (S) district, Victoria province)"
1939,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Victoria New South Wales
1944,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Western District Victoria
1967,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Hobart (Tasmania)
1968,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,New South Wales
1975,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Kangaroo Isl.
1975,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Mildura region
1977,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Western district
1977,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Blue Mountains, New South Wales"
1979,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Act, Gouldburn,Yass, Mittagong, New South Wales"
1980,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia, Adelaide Hills (South)
1983,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"South Australia, Victoria"
1985,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Southeastern
1985,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,New South Wales
1990,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"South New South Wales, North Victoria"
1994,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Nouvelle Galle du Sud
1994,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,New South Wales & Queenland
1997,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,North West
1997,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia," From Tare To Bega, Coonabaraban"
1999,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Victoria, South Australia"
2000,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts (New South Wales province)"
2001,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,New South Wales province
2001,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province), Canberra (Unincorporated ACT district, Australian Capital Territory province)"
2002,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province)"
2009,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Marysville, Kinglake, Taggerty cities (Murrindindi (S) district, Victoria province), Strathewen, St Andrews cities (Nillumbik (S) district, Victoria province), , Whittlesea city (Whittlesea district, Victoria province), Wandong city (Mitchell (S) district, Victoria province) "
2011,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Margaret river city (Augusta-Margaret River (S) district, Western Australia province)"
2013,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Dunnaley, Boomer Bay cities (Sorell (M) district, Tasmania province), Sommers Bay (Tasman district, Tasmania province), Bicheno city (Glamorgan/Spring Bay (M) district, Tasmania province); New South Wales, Victoria"
2013,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Blue Mountains (C) district (New South Wales province)
2014,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Kalamunda (S), Mundaring (S) districts (Perth Hills region, Western Australia province)"
2014,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Mickleham, Craigieburn cities (Hume district, Victoria province), Whittlesea (S), Nillumbik (S) districts (Melbourne north outskirts, Victoria province), Wallan, Kilmore, Beveridge cities (Mitchell (S) district, Victoria province), Warrandyte city (Manningham (C) district, Victoria province), Wunghnu city (Moira (S) district, Victoria province), Glenaladale, Walpa cities (East Gippsland (S) district, Victoria province), Yarram city (Wellington district, Victoria province), Morwell city (Latrobe district, Victoria province), Gisborne (Macedon Ranges district, Victoria province)"
2015,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Sampson Flat city (Playford (C) district, South Australia province), Kersbrook (Adelaide Hills (DC) district, Mount Lofty Ranges, South Australia province)"
2015,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,"Pinery, Balaklava cities (Wakefield (DC) district, North Mount Lofty Ranges, South Australia province), Roseworthy city (Light (RegC) district, South Australia province)"
2016,Wildfire,"Land fire (Brush, Bush, Pasture)",Yarloop busfires,Australia,"Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)"
2019,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Gippsland region (South-east Victoria state)
2019,Wildfire,"Land fire (Brush, Bush, Pasture)",Currowan,Australia,"New South Wales, Queensland; Victoria; South Australia, Western Australia"
2021,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,Perth region
2006,Wildfire,,,Australia,"Blue mountains district, New South Wales province"
2017,Wildfire,,Sir Ivan fire,Australia,"New South Wales states (Dunedoo, Uarbry, Pappinbarra, Dondingalong, Kempsey, Boggabri, Narrabri, Mudgee)"
1978,Wildfire,Forest fire,,Benin,Aguegues (Portonovo)
1984,Wildfire,"Land fire (Brush, Bush, Pasture)",,Benin,North
2013,Wildfire,,,Benin,"Alloya village (Chee-Ahomadegbe, Lalo district, Couffo Province)"
1999,Wildfire,Forest fire,,Bhutan,
2002,Wildfire,Forest fire,,Bolivia (Plurinational State of),"Sama, Tucumilla, Iscayachi, Lazareto, San Andres, Victoria, Coimata, Erquis Norte, Sur villages (Cercado district, Tarija province)"
2005,Wildfire,Forest fire,,Bolivia (Plurinational State of),"Beni, Pando provinces"
2010,Wildfire,Forest fire,,Bolivia (Plurinational State of),"Beni, Pando, Santa Cruz, Cochabamba, La Paz provinces"
2019,Wildfire,Forest fire,,Bolivia (Plurinational State of),"Santa Cruz, Beni, La Paz departments"
1999,Wildfire,"Land fire (Brush, Bush, Pasture)",,Bolivia (Plurinational State of),"Ascension De Guarayos, San Ignacio De Moxos, Canandoa"
1998,Wildfire,Forest fire,,Brazil,"Tocantins, Para Mato Grosso, Rondonia"
2019,Wildfire,Forest fire,,Brazil,"Northwestern, Legal Amazon Area"
1998,Wildfire,"Land fire (Brush, Bush, Pasture)",,Brazil,"Alta Alegre, Amajari, Apiau, Bom-Pim, Canta, Caracarai, Iracema, Maraca, Macajai, Normandia, Pacaraima, Uiramuta municipalities (Roraima state)"
1999,Wildfire,"Land fire (Brush, Bush, Pasture)",,Brazil,"Mato Grosso, Mato Grosso do Sul"
1998,Wildfire,Forest fire,,Brunei Darussalam,
2000,Wildfire,Forest fire,,Bulgaria,"Haskovo, Jambol, Burgas, Stara Zagora, Plovdiv provinces"
2001,Wildfire,Forest fire,,Bulgaria,"Blagoevgrad, Haskovo, Kardzhali, Smoljan provinces"
2007,Wildfire,Forest fire,,Bulgaria,"Veliko Tarnovo, Kustendil, Montana, Sofia, Smoljan, Stara Zagora provinces "
2007,Wildfire,,,Bulgaria,"Topolovgrad, Svilengrad districts (Haskovo province)"
2021,Wildfire,,,Bulgaria," Pernik, Plovdiv and Kyustendil districts"
1911,Wildfire,Forest fire,,Canada,"Cochrane (and Northern Region), Ontario"
1922,Wildfire,Forest fire,,Canada,"Haileybury, Ontario"
1985,Wildfire,Forest fire,,Canada,Northeast of Vancouver
1986,Wildfire,Forest fire,,Canada,"Grand Falls, Newfoundland"
1986,Wildfire,Forest fire,,Canada,"George Town & Burton, New Brunswick"
1989,Wildfire,Forest fire,,Canada,"Entire country, especillay Labrador"
1992,Wildfire,Forest fire,,Canada,Britsh Columbia province
1994,Wildfire,Forest fire,,Canada,British Columbia
